cell_id	0	1	2	3	4	5	6	7	8	9
Lnuclei-pool60-S1-A	1.4024101285375333e-184	1.0	3.133217754746269e-224	3.133217754746269e-224	3.133217754746269e-224	3.133217754746269e-224	3.133217754746269e-224	3.133217754746269e-224	3.133217754746269e-224	3.133217754746269e-224
Lnuclei-pool60-S1-B	1.0	3.736985944704465e-114	3.476393046143007e-162	3.476393046143007e-162	3.476393046143007e-162	3.476393046143007e-162	3.476393046143007e-162	3.476393046143007e-162	3.476393046143007e-162	3.476393046143007e-162
Lnuclei-pool60-S1-C	1.4969012281788715e-143	1.0	5.724011458883114e-220	5.724011458883114e-220	5.724011458883114e-220	5.724011458883114e-220	5.724011458883114e-220	5.724011458883114e-220	5.724011458883114e-220	5.724011458883114e-220
Lnuclei-pool60-S1-D	2.661516623728008e-137	1.0	9.651990131967997e-158	9.651990131967997e-158	9.651990131967997e-158	9.651990131967997e-158	9.651990131967997e-158	9.651990131967997e-158	9.651990131967997e-158	9.651990131967997e-158
Lnuclei-pool76-S7-A-TAGCTT	2.216497567059424e-238	1.0	2.2032588838903276e-255	2.2032588838903276e-255	2.2032588838903276e-255	2.2032588838903276e-255	2.2032588838903276e-255	2.2032588838903276e-255	2.2032588838903276e-255	2.2032588838903276e-255
Lnuclei-pool76-S7-B-ACTTGA	1.0965684951496612e-205	1.0	3.871367415200776e-273	3.871367415200776e-273	3.871367415200776e-273	3.871367415200776e-273	3.871367415200776e-273	3.871367415200776e-273	3.871367415200776e-273	3.871367415200776e-273
Lnuclei-pool76-S7-C-GCCAAT	1.0	2.0302406963744952e-249	3.9243e-319	3.9243e-319	3.9243e-319	3.9243e-319	3.9243e-319	3.9243e-319	3.9243e-319	3.9243e-319
Lnuclei-pool76-S7-H-CAGATC	1.0	4.183175695582827e-101	1.0734579869253864e-179	1.0734579869253864e-179	1.0734579869253864e-179	1.0734579869253864e-179	1.0734579869253864e-179	1.0734579869253864e-179	1.0734579869253864e-179	1.0734579869253864e-179
Lnuclei-pool76-S7-J-GACGAG	1.1239204249326164e-140	1.0	3.747021055052723e-185	3.747021055052723e-185	3.747021055052723e-185	3.747021055052723e-185	3.747021055052723e-185	3.747021055052723e-185	3.747021055052723e-185	3.747021055052723e-185
Lnuclei-pool76-S7-K-AAGGTC	1.0	1.0093591829676661e-283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool76-S7-L-TGTAGC	6.136845580800879e-179	1.0	1.5836475808431448e-239	1.5836475808431448e-239	1.5836475808431448e-239	1.5836475808431448e-239	1.5836475808431448e-239	1.5836475808431448e-239	1.5836475808431448e-239	1.5836475808431448e-239
Lnuclei-pool76-S7-N-CTACTG	9.373060346452783e-261	1.0	2.303566e-318	2.303566e-318	2.303566e-318	2.303566e-318	2.303566e-318	2.303566e-318	2.303566e-318	2.303566e-318
Lnuclei-pool76-S7-O-CATATG	1.0	2.70212552160953e-310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool76-S7-P-GTATAC	1.4968385136843083e-204	1.0	1.1522498483763765e-287	1.1522498483763765e-287	1.1522498483763765e-287	1.1522498483763765e-287	1.1522498483763765e-287	1.1522498483763765e-287	1.1522498483763765e-287	1.1522498483763765e-287
Lnuclei-pool76-S7-Q-ACCTTC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool77-S8-A-TAGCTT	1.0	8.37023160160166e-172	2.5678980734546544e-263	2.5678980734546544e-263	2.5678980734546544e-263	2.5678980734546544e-263	2.5678980734546544e-263	2.5678980734546544e-263	2.5678980734546544e-263	2.5678980734546544e-263
Lnuclei-pool77-S8-B-ACTTGA	1.0	7.02599727887776e-170	6.529341337986262e-218	6.529341337986262e-218	6.529341337986262e-218	6.529341337986262e-218	6.529341337986262e-218	6.529341337986262e-218	6.529341337986262e-218	6.529341337986262e-218
Lnuclei-pool77-S8-C-GCCAAT	1.557081765639614e-69	1.0	2.6777792000598503e-93	2.6777792000598503e-93	2.6777792000598503e-93	2.6777792000598503e-93	2.6777792000598503e-93	2.6777792000598503e-93	2.6777792000598503e-93	2.6777792000598503e-93
Lnuclei-pool77-S8-D-CGATGT	3.9483482158085995e-39	1.0	1.6243455018788736e-36	1.6243455018788736e-36	1.6243455018788736e-36	1.6243455018788736e-36	1.6243455018788736e-36	1.6243455018788736e-36	1.6243455018788736e-36	1.6243455018788736e-36
Lnuclei-pool77-S8-H-CAGATC	1.0	9.01549153e-315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool77-S8-J-GACGAG	8.002271749972931e-160	1.0	8.383269280668279e-193	8.383269280668279e-193	8.383269280668279e-193	8.383269280668279e-193	8.383269280668279e-193	8.383269280668279e-193	8.383269280668279e-193	8.383269280668279e-193
Lnuclei-pool77-S8-K-AAGGTC	1.0	4.275700083482343e-200	6.419876688631515e-274	6.419876688631515e-274	6.419876688631515e-274	6.419876688631515e-274	6.419876688631515e-274	6.419876688631515e-274	6.419876688631515e-274	6.419876688631515e-274
Lnuclei-pool77-S8-L-TGTAGC	9.940029066999335e-203	1.0	3.8643247983765634e-251	3.8643247983765634e-251	3.8643247983765634e-251	3.8643247983765634e-251	3.8643247983765634e-251	3.8643247983765634e-251	3.8643247983765634e-251	3.8643247983765634e-251
Lnuclei-pool77-S8-M-TTGGCA	1.5030495429036416e-176	1.0	2.4204516010871375e-233	2.4204516010871375e-233	2.4204516010871375e-233	2.4204516010871375e-233	2.4204516010871375e-233	2.4204516010871375e-233	2.4204516010871375e-233	2.4204516010871375e-233
Lnuclei-pool77-S8-P-GTATAC	2.2800848562199075e-237	1.0	2.669203824034748e-279	2.669203824034748e-279	2.669203824034748e-279	2.669203824034748e-279	2.669203824034748e-279	2.669203824034748e-279	2.669203824034748e-279	2.669203824034748e-279
Lnuclei-pool77-S8-Q-ACCTTC	1.0	6.3e-322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool78-S9-A-TAGCTT	1.0	2.4319674875412112e-57	1.5809545921969727e-125	1.5809545921969727e-125	1.5809545921969727e-125	1.5809545921969727e-125	1.5809545921969727e-125	1.5809545921969727e-125	1.5809545921969727e-125	1.5809545921969727e-125
Lnuclei-pool78-S9-B-ACTTGA	1.0	8.645028073509471e-83	1.3560662379874084e-128	1.3560662379874084e-128	1.3560662379874084e-128	1.3560662379874084e-128	1.3560662379874084e-128	1.3560662379874084e-128	1.3560662379874084e-128	1.3560662379874084e-128
Lnuclei-pool78-S9-C-GCCAAT	1.0990242947070334e-111	1.0	1.0970870614774522e-151	1.0970870614774522e-151	1.0970870614774522e-151	1.0970870614774522e-151	1.0970870614774522e-151	1.0970870614774522e-151	1.0970870614774522e-151	1.0970870614774522e-151
Lnuclei-pool78-S9-F-ATCACG	1.0	1.5086397918370973e-113	3.0606214798208365e-147	3.0606214798208365e-147	3.0606214798208365e-147	3.0606214798208365e-147	3.0606214798208365e-147	3.0606214798208365e-147	3.0606214798208365e-147	3.0606214798208365e-147
Lnuclei-pool78-S9-H-CAGATC	1.0	4.4453417292568347e-79	4.205813624083833e-98	4.205813624083833e-98	4.205813624083833e-98	4.205813624083833e-98	4.205813624083833e-98	4.205813624083833e-98	4.205813624083833e-98	4.205813624083833e-98
Lnuclei-pool78-S9-J-GACGAG	1.0	2.087226903315907e-67	4.215264503797882e-108	4.215264503797882e-108	4.215264503797882e-108	4.215264503797882e-108	4.215264503797882e-108	4.215264503797882e-108	4.215264503797882e-108	4.215264503797882e-108
Lnuclei-pool78-S9-K-AAGGTC	1.0	3.70035652310252e-69	7.942400181571e-132	7.942400181571e-132	7.942400181571e-132	7.942400181571e-132	7.942400181571e-132	7.942400181571e-132	7.942400181571e-132	7.942400181571e-132
Lnuclei-pool78-S9-L-TGTAGC	1.0157592988767553e-78	1.0	4.122276135620287e-76	4.122276135620287e-76	4.122276135620287e-76	4.122276135620287e-76	4.122276135620287e-76	4.122276135620287e-76	4.122276135620287e-76	4.122276135620287e-76
Lnuclei-pool78-S9-M-TTGGCA	1.0	1.3110131689464047e-202	8.784561490255771e-217	8.784561490255771e-217	8.784561490255771e-217	8.784561490255771e-217	8.784561490255771e-217	8.784561490255771e-217	8.784561490255771e-217	8.784561490255771e-217
Lnuclei-pool78-S9-N-CTACTG	3.034877683117133e-177	1.0	7.284727444711575e-226	7.284727444711575e-226	7.284727444711575e-226	7.284727444711575e-226	7.284727444711575e-226	7.284727444711575e-226	7.284727444711575e-226	7.284727444711575e-226
Lnuclei-pool78-S9-O-CATATG	9.672513032148442e-100	1.0	1.0754695722258892e-167	1.0754695722258892e-167	1.0754695722258892e-167	1.0754695722258892e-167	1.0754695722258892e-167	1.0754695722258892e-167	1.0754695722258892e-167	1.0754695722258892e-167
Lnuclei-pool78-S9-Q-ACCTTC	8.47505452808151e-304	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool79-S10-A-TAGCTT	3.7360936899483517e-236	1.0	2.4928319376196454e-271	2.4928319376196454e-271	2.4928319376196454e-271	2.4928319376196454e-271	2.4928319376196454e-271	2.4928319376196454e-271	2.4928319376196454e-271	2.4928319376196454e-271
Lnuclei-pool79-S10-B-ACTTGA	4.75208596851916e-135	1.0	2.1015098251148323e-172	2.1015098251148323e-172	2.1015098251148323e-172	2.1015098251148323e-172	2.1015098251148323e-172	2.1015098251148323e-172	2.1015098251148323e-172	2.1015098251148323e-172
Lnuclei-pool79-S10-C-GCCAAT	1.0	6.538869184214983e-117	1.710942119933478e-124	1.710942119933478e-124	1.710942119933478e-124	1.710942119933478e-124	1.710942119933478e-124	1.710942119933478e-124	1.710942119933478e-124	1.710942119933478e-124
Lnuclei-pool79-S10-D-CGATGT	1.1205362030856209e-156	1.0	1.2716470021072262e-162	1.2716470021072262e-162	1.2716470021072262e-162	1.2716470021072262e-162	1.2716470021072262e-162	1.2716470021072262e-162	1.2716470021072262e-162	1.2716470021072262e-162
Lnuclei-pool79-S10-F-ATCACG	2.3756715648755487e-225	1.0	4.74277638033513e-257	4.74277638033513e-257	4.74277638033513e-257	4.74277638033513e-257	4.74277638033513e-257	4.74277638033513e-257	4.74277638033513e-257	4.74277638033513e-257
Lnuclei-pool79-S10-H-CAGATC	1.0	5.953295532871975e-185	4.816614976069864e-223	4.816614976069864e-223	4.816614976069864e-223	4.816614976069864e-223	4.816614976069864e-223	4.816614976069864e-223	4.816614976069864e-223	4.816614976069864e-223
Lnuclei-pool79-S10-I-CTTGTA	9.871003199193928e-268	1.0	1.705e-321	1.705e-321	1.705e-321	1.705e-321	1.705e-321	1.705e-321	1.705e-321	1.705e-321
Lnuclei-pool79-S10-J-GACGAG	3.0645257430176827e-117	1.0	1.7273059498319634e-162	1.7273059498319634e-162	1.7273059498319634e-162	1.7273059498319634e-162	1.7273059498319634e-162	1.7273059498319634e-162	1.7273059498319634e-162	1.7273059498319634e-162
Lnuclei-pool79-S10-K-AAGGTC	3.522302455347359e-151	1.0	2.3466411143024684e-221	2.3466411143024684e-221	2.3466411143024684e-221	2.3466411143024684e-221	2.3466411143024684e-221	2.3466411143024684e-221	2.3466411143024684e-221	2.3466411143024684e-221
Lnuclei-pool79-S10-L-TGTAGC	8.933314635666167e-123	1.0	2.058992693775314e-160	2.058992693775314e-160	2.058992693775314e-160	2.058992693775314e-160	2.058992693775314e-160	2.058992693775314e-160	2.058992693775314e-160	2.058992693775314e-160
Lnuclei-pool79-S10-M-TTGGCA	1.0	7.535442743213679e-141	6.667124107071427e-186	6.667124107071427e-186	6.667124107071427e-186	6.667124107071427e-186	6.667124107071427e-186	6.667124107071427e-186	6.667124107071427e-186	6.667124107071427e-186
Lnuclei-pool79-S10-N-CTACTG	1.0	4.963379039321479e-122	1.0344165923961536e-163	1.0344165923961536e-163	1.0344165923961536e-163	1.0344165923961536e-163	1.0344165923961536e-163	1.0344165923961536e-163	1.0344165923961536e-163	1.0344165923961536e-163
Lnuclei-pool79-S10-O-CATATG	1.0	4.034840750378683e-129	2.248646080304305e-182	2.248646080304305e-182	2.248646080304305e-182	2.248646080304305e-182	2.248646080304305e-182	2.248646080304305e-182	2.248646080304305e-182	2.248646080304305e-182
Lnuclei-pool79-S10-P-GTATAC	1.0	2.114754260424048e-33	1.1551338535818589e-164	1.1551338535818589e-164	1.1551338535818589e-164	1.1551338535818589e-164	1.1551338535818589e-164	1.1551338535818589e-164	1.1551338535818589e-164	1.1551338535818589e-164
Lnuclei-pool79-S10-Q-ACCTTC	2.5439727967897255e-257	1.0	4.473102425407486e-292	4.473102425407486e-292	4.473102425407486e-292	4.473102425407486e-292	4.473102425407486e-292	4.473102425407486e-292	4.473102425407486e-292	4.473102425407486e-292
Lnuclei-pool80-S11-A-TAGCTT	9.29125176646567e-148	1.0	4.657753233859828e-164	4.657753233859828e-164	4.657753233859828e-164	4.657753233859828e-164	4.657753233859828e-164	4.657753233859828e-164	4.657753233859828e-164	4.657753233859828e-164
Lnuclei-pool80-S11-B-ACTTGA	1.0	4.566252868349277e-203	5.278008565731786e-249	5.278008565731786e-249	5.278008565731786e-249	5.278008565731786e-249	5.278008565731786e-249	5.278008565731786e-249	5.278008565731786e-249	5.278008565731786e-249
Lnuclei-pool80-S11-C-GCCAAT	1.0	1.0963862372397304e-200	2.781121869551872e-242	2.781121869551872e-242	2.781121869551872e-242	2.781121869551872e-242	2.781121869551872e-242	2.781121869551872e-242	2.781121869551872e-242	2.781121869551872e-242
Lnuclei-pool80-S11-D-CGATGT	4.7907845359134095e-118	1.0	3.9386406423760175e-133	3.9386406423760175e-133	3.9386406423760175e-133	3.9386406423760175e-133	3.9386406423760175e-133	3.9386406423760175e-133	3.9386406423760175e-133	3.9386406423760175e-133
Lnuclei-pool80-S11-G-TGACCA	6.67e-322	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool80-S11-H-CAGATC	1.6224799912506285e-188	1.0	4.3120483332763386e-266	4.3120483332763386e-266	4.3120483332763386e-266	4.3120483332763386e-266	4.3120483332763386e-266	4.3120483332763386e-266	4.3120483332763386e-266	4.3120483332763386e-266
Lnuclei-pool80-S11-I-CTTGTA	5.731515031882973e-124	1.0	2.817861553326048e-191	2.817861553326048e-191	2.817861553326048e-191	2.817861553326048e-191	2.817861553326048e-191	2.817861553326048e-191	2.817861553326048e-191	2.817861553326048e-191
